key;fr_FR;es_ES;en_GB;pt_PT;it_IT
ffa.planche.compteurs.porte_cartes;PC;;CH;;
ffa.planche.compteurs.justificatifs;JUS;;FC;;
ffa.planche.compteurs.kit_fidelite;KF;;;;
ffa.planche.faco.avec_rainage;Rainage;;;;
ffa.planche.faco.avec_pliage;Pliage;;;;
ffa.planche.faco.avec_perfo;Perforation;;;;
ffa.planche.faco.avec_decoupe;Découpe;;;;
ffa.planche.finitions.pelliculage;PELL;;;;
ffa.planche.finitions.vernis;VERN;;;;
ffa.planche.finitions.vernis_uv;UV;;;;
ffa.abbr.recto;R°;;;;
ffa.abbr.verso;V°;;;;
ffa.id.num_planche;N° Planche;;;;
ffa.id.date_expe_sans_faco;Expé SANS façonnage;;;;
ffa.id.date_expe_avec_faco;Expé AVEC façonnage;;;;
ffa.id.imperatifs;Impératifs;;;;
ffa.id.sous_traitance;Sous-Traitance;;;;
ffa.id.nb_commandes;Nb commandes;;;;
ffa.abbr.planche_sous_traitance;ST;;;;
ffa.abbr.planche_principale;P;;;;
ffa.impression.bascule;Bascule;;;;
ffa.indications_commandes.bat;BAT;;;;
ffa.indications_commandes.imperatif;Impératifs;;;;
ffa.indications_commandes.retirage;Retirage;;;;
ffa.cell.bat;BàT;;;;
ffa.cell.coins_ronds;CR;;;;
ffa.cell.justif;JUS;;;;
ffa.cell.kit_fidelite;KF;;;;
ffa.cell.porte_carte;PC;;;;
ffa.cell.retirage;Ret;;;;
ffa.cell.sous_traitance;ST;;;;
